ASN,peers_AS
AS211122,"['AS26068', 'AS34212', 'AS266473']"
AS267741,"['AS133237', 'AS132070', 'AS134819']"
AS26207,"['AS46179', 'AS216131', 'AS18116']"
AS137868,"['AS28299', 'AS215024', 'AS33570']"
AS49064,"['AS31249', 'AS36659', 'AS395953']"
AS210017,"['AS26830', 'AS265301', 'AS398836']"
AS45254,"['AS61097', 'AS270639', 'AS208315']"
AS263289,"['AS401437', 'AS35047', 'AS9374']"
AS153746,"['AS214730', 'AS204231', 'AS13307']"
AS394470,"['AS401256', 'AS401071', 'AS271183']"
AS2385,"['AS202283', 'AS59825', 'AS60336']"
AS211949,"['AS59962', 'AS395289', 'AS132100']"
AS133706,"['AS147252', 'AS50079', 'AS40762']"
AS9830,"['AS328073', 'AS28075', 'AS21502']"
AS33255,"['AS48649', 'AS11246', 'AS29544']"
AS17478,"['AS45629', 'AS398826', 'AS57722']"
AS3390,"['AS46399', 'AS23027', 'AS268948']"
AS132231,"['AS139141', 'AS264173', 'AS48867']"
AS38481,"['AS270751', 'AS6134', 'AS42426']"
AS22807,"['AS134469', 'AS141901', 'AS60761']"
AS211842,"['AS33895', 'AS11328', 'AS22122']"
AS262809,"['AS266118', 'AS19887', 'AS1670']"
AS45372,"['AS29270', 'AS272935', 'AS2165']"
AS15465,"['AS140622', 'AS55441', 'AS23118']"
AS62821,"['AS50873', 'AS54338', 'AS197498']"
AS197074,"['AS39799', 'AS396515', 'AS203037']"
AS202269,"['AS206022', 'AS198412', 'AS394933']"
AS7341,"['AS59987', 'AS213946', 'AS267747']"
AS51955,"['AS329426', 'AS42729', 'AS207083']"
AS36333,"['AS394286', 'AS51520', 'AS209453']"
AS401587,"['AS131480', 'AS25184', 'AS213066']"
AS200163,"['AS62483', 'AS41121', 'AS42309']"
AS210422,"['AS25268', 'AS139792', 'AS63646']"
AS49604,"['AS136941', 'AS140526', 'AS271065']"
AS31204,"['AS272840', 'AS265277', 'AS53108']"
AS396286,"['AS152593', 'AS273161', 'AS23544']"
AS12242,"['AS55891', 'AS57962', 'AS135026']"
AS20163,"['AS272027', 'AS55044', 'AS41880']"
AS19966,"['AS262178', 'AS137124', 'AS46524']"
AS263946,"['AS210127', 'AS60260', 'AS34794']"
AS264848,"['AS401027', 'AS39935', 'AS150331']"
AS60847,"['AS54196', 'AS149521', 'AS25594']"
AS54048,"['AS271125', 'AS209288', 'AS207040']"
AS400516,"['AS398228', 'AS19781', 'AS269284']"
AS21691,"['AS141691', 'AS27984', 'AS202126']"
AS394823,"['AS394110', 'AS5502', 'AS29925']"
AS201632,"['AS200244', 'AS148975', 'AS61735']"
AS328043,"['AS26026', 'AS36976', 'AS269872']"
AS63483,"['AS36127', 'AS150745', 'AS266084']"
AS239,"['AS207089', 'AS198874', 'AS131722']"
AS58080,"['AS131988', 'AS152003', 'AS31257']"
AS15199,"['AS262256', 'AS398839', 'AS271269']"
AS263527,"['AS203706', 'AS263364', 'AS40860']"
AS42581,"['AS213152', 'AS201470', 'AS55967']"
AS45131,"['AS152955', 'AS270266', 'AS271731']"
AS10967,"['AS37160', 'AS21019', 'AS272051']"
AS61108,"['AS267816', 'AS14246', 'AS203084']"
AS269800,"['AS59138', 'AS399400', 'AS26584']"
AS215567,"['AS200692', 'AS53341', 'AS262702']"
AS23015,"['AS203616', 'AS42245', 'AS152461']"
AS35617,"['AS267843', 'AS395413', 'AS201756']"
AS43458,"['AS153263', 'AS212323', 'AS266090']"
AS36407,"['AS10183', 'AS398786', 'AS328575']"
AS55747,"['AS136084', 'AS29270', 'AS55746']"
AS30830,"['AS271103', 'AS395748', 'AS56928']"
AS52651,"['AS60526', 'AS55760', 'AS208061']"
AS264635,"['AS209613', 'AS394414', 'AS52675']"
AS206657,"['AS400421', 'AS24320', 'AS38813']"
AS3905,"['AS51732', 'AS151617', 'AS149101']"
AS212208,"['AS23237', 'AS10062', 'AS199966']"
AS56580,"['AS132989', 'AS269011', 'AS13394']"
AS34857,"['AS153365', 'AS30854', 'AS197483']"
AS44176,"['AS14605', 'AS25354', 'AS39695']"
AS15682,"['AS265778', 'AS207989', 'AS60476']"
AS263441,"['AS206182', 'AS55428', 'AS36088']"
AS398296,"['AS14834', 'AS199800', 'AS40577']"
AS58457,"['AS150804', 'AS203883', 'AS61196']"
AS31127,"['AS2847', 'AS14035', 'AS12686']"
AS15899,"['AS61176', 'AS397645', 'AS205272']"
AS58289,"['AS42673', 'AS50083', 'AS205311']"
AS197477,"['AS132277', 'AS12926', 'AS48458']"
AS394611,"['AS35353', 'AS199946', 'AS63777']"
AS32617,"['AS269973', 'AS26941', 'AS45707']"
AS57213,"['AS197964', 'AS201602', 'AS2526']"
AS21192,"['AS203699', 'AS32230', 'AS37489']"
AS146904,"['AS36385', 'AS137888', 'AS26016']"
AS264295,"['AS151125', 'AS8595', 'AS329483']"
AS18622,"['AS35432', 'AS268127', 'AS33200']"
AS135477,"['AS9507', 'AS40129', 'AS15752']"
AS135780,"['AS135319', 'AS61275', 'AS140093']"
AS44259,"['AS61639', 'AS31102', 'AS135813']"
AS20259,"['AS206664', 'AS267694', 'AS142348']"
AS264643,"['AS271676', 'AS51621', 'AS262907']"
AS207858,"['AS25716', 'AS271497', 'AS20353']"
AS201786,"['AS198387', 'AS26863', 'AS196938']"
AS269394,"['AS36739', 'AS50018', 'AS270269']"
AS400167,"['AS53791', 'AS59790', 'AS397360']"
AS198279,"['AS198762', 'AS19887', 'AS264825']"
AS206433,"['AS51204', 'AS50510', 'AS56765']"
AS49882,"['AS13154', 'AS263549', 'AS9249']"
AS59920,"['AS24786', 'AS208544', 'AS398296']"
AS30567,"['AS55531', 'AS49097', 'AS140646']"
AS52700,"['AS262208', 'AS44671', 'AS25491']"
AS328501,"['AS55477', 'AS269862', 'AS8462']"
AS52722,"['AS36940', 'AS205505', 'AS39806']"
AS57217,"['AS60056', 'AS134553', 'AS396402']"
AS60841,"['AS21693', 'AS61206', 'AS188']"
AS131705,"['AS139325', 'AS32594', 'AS14121']"
AS26957,"['AS53442', 'AS268303', 'AS397055']"
AS28164,"['AS139320', 'AS132398', 'AS60182']"
AS39279,"['AS58524', 'AS9859', 'AS211996']"
AS50418,"['AS11903', 'AS24699', 'AS56109']"
AS48877,"['AS272345', 'AS271000', 'AS200195']"
AS197870,"['AS265464', 'AS19800', 'AS56587']"
AS40146,"['AS201098', 'AS198424', 'AS268867']"
AS61231,"['AS20436', 'AS27316', 'AS270875']"
AS203160,"['AS212988', 'AS209955', 'AS149961']"
AS272132,"['AS210841', 'AS57135', 'AS62943']"
AS48197,"['AS26379', 'AS197427', 'AS29077']"
AS45273,"['AS27744', 'AS212586', 'AS28159']"
AS10273,"['AS48829', 'AS265722', 'AS133146']"
AS16647,"['AS394140', 'AS1449', 'AS61327']"
AS19174,"['AS41495', 'AS3955', 'AS13986']"
AS57134,"['AS28256', 'AS264389', 'AS401508']"
AS203015,"['AS201668', 'AS42307', 'AS46870']"
AS400915,"['AS207241', 'AS31245', 'AS19148']"
AS33029,"['AS151699', 'AS289', 'AS215174']"
AS137923,"['AS22891', 'AS11273', 'AS26079']"
AS206723,"['AS269422', 'AS209151', 'AS270452']"
AS24496,"['AS211542', 'AS141988', 'AS208092']"
AS207572,"['AS25030', 'AS46277', 'AS50613']"
AS397688,"['AS211553', 'AS14718', 'AS50939']"
AS399047,"['AS31973', 'AS271018', 'AS400961']"
AS328613,"['AS203184', 'AS23435', 'AS272954']"
AS3132,"['AS18467', 'AS215556', 'AS13656']"
AS49243,"['AS19812', 'AS51576', 'AS263516']"
AS206087,"['AS210490', 'AS329049', 'AS214500']"
AS28918,"['AS25910', 'AS268598', 'AS10080']"
AS202790,"['AS61970', 'AS14232', 'AS48659']"
AS43652,"['AS57974', 'AS35404', 'AS270866']"
AS27984,"['AS53775', 'AS28420', 'AS43494']"
AS394844,"['AS271368', 'AS11367', 'AS1019']"
AS203759,"['AS31454', 'AS24684', 'AS269191']"
AS212849,"['AS263408', 'AS31779', 'AS1906']"
AS263196,"['AS35691', 'AS152102', 'AS1100']"
AS399392,"['AS394935', 'AS29844', 'AS43174']"
AS16251,"['AS211671', 'AS398199', 'AS37942']"
AS60051,"['AS328598', 'AS61700', 'AS28180']"
AS394761,"['AS265309', 'AS17534', 'AS328186']"
AS393857,"['AS399816', 'AS52458', 'AS265844']"
AS12178,"['AS329426', 'AS46276', 'AS57536']"
AS211276,"['AS205666', 'AS63893', 'AS201870']"
AS201156,"['AS33967', 'AS141372', 'AS3384']"
AS32099,"['AS270721', 'AS203687', 'AS57876']"
AS262766,"['AS40760', 'AS400563', 'AS153563']"
AS208922,"['AS201127', 'AS6482', 'AS35193']"
AS26605,"['AS52322', 'AS37013', 'AS17408']"
AS24175,"['AS328606', 'AS268391', 'AS5842']"
AS25560,"['AS265296', 'AS328869', 'AS149522']"
AS47374,"['AS56813', 'AS50252', 'AS138042']"
AS33292,"['AS131805', 'AS197133', 'AS6836']"
AS138556,"['AS62125', 'AS400776', 'AS59402']"
AS23861,"['AS274025', 'AS48701', 'AS267831']"
AS397666,"['AS263403', 'AS267350', 'AS27512']"
AS49693,"['AS823', 'AS13821', 'AS42069']"
AS3203,"['AS39679', 'AS268404', 'AS138652']"
AS5860,"['AS44317', 'AS55759', 'AS62053']"
AS207095,"['AS21166', 'AS141654', 'AS44276']"
AS393248,"['AS3284', 'AS15493', 'AS206946']"
AS134589,"['AS8135', 'AS267905', 'AS12695']"
AS22034,"['AS271107', 'AS141490', 'AS63427']"
AS31997,"['AS270920', 'AS46829', 'AS140470']"
AS14365,"['AS328668', 'AS23674', 'AS209088']"
AS18911,"['AS203824', 'AS267408', 'AS21099']"
AS150266,"['AS142294', 'AS62982', 'AS214094']"
AS37551,"['AS55543', 'AS201587', 'AS63797']"
AS13510,"['AS43008', 'AS210374', 'AS38465']"
AS4184,"['AS140890', 'AS53535', 'AS209510']"
AS199518,"['AS269330', 'AS26842', 'AS266804']"
AS63035,"['AS43872', 'AS14893', 'AS210822']"
